"dates","mean","lci","uci"
2020-06-10,0.767710709246329,0.710108489708569,0.827527245431365
2020-06-11,0.786445960825288,0.726397759282171,0.848844838695537
2020-06-12,0.804129418314383,0.741758580126135,0.868982109746743
2020-06-13,0.817323425767623,0.752891995211933,0.884362400589569
2020-06-14,0.830527161778301,0.764116804039355,0.89966528697601
2020-06-15,0.842918248534601,0.774641912984054,0.914036971296973
2020-06-16,0.850485947652477,0.780615479738536,0.923308399511929
2020-06-17,0.856612367584934,0.785272443492866,0.931009567772722
2020-06-18,0.861632841094639,0.788930437492292,0.937493751489123
2020-06-19,0.866086288319576,0.792092006347781,0.943337331375314
2020-06-20,0.867110377381813,0.792000928078226,0.945573644280539
2020-06-21,0.868493225650355,0.792268520569075,0.948168692219201
2020-06-22,0.876096750002352,0.798485500356598,0.957255947853134
2020-06-23,0.886891450462844,0.80774319554449,0.969685934481206
2020-06-24,0.903239727198658,0.822288561834564,0.9879368531516
2020-06-25,0.926929837191095,0.843855490180154,1.01384839358985
2020-06-26,0.959319757254596,0.873798428051149,1.04877654496339
2020-06-27,0.997444031367087,0.909358433951423,1.08954325824896
2020-06-28,1.03992956849101,0.949306188059949,1.1346250853173
2020-06-29,1.08485380080564,0.991898026704132,1.18191341084989
2020-06-30,1.13229327252994,1.03729110088024,1.23139847763514
2020-07-01,1.1739911776173,1.07762995579867,1.2744197972638
2020-07-02,1.2108716497983,1.11380075709626,1.31194030023625
2020-07-03,1.24416171009156,1.14695962199602,1.34526090653238
2020-07-04,1.2696916062553,1.17304422955547,1.37011027141897
2020-07-05,1.29219991342483,1.19652170530063,1.39150580374521
2020-07-06,1.30845883087881,1.21421089029806,1.40617938762178
2020-07-07,1.31932612779311,1.22686531694074,1.41509819098749
2020-07-08,1.32058736182799,1.2303557244473,1.41396660390029
2020-07-09,1.31069403093172,1.22311831946255,1.4012547977414
2020-07-10,1.29501825060726,1.21027331905896,1.38259017950231
2020-07-11,1.26882734587319,1.18717230508311,1.35315965221938
2020-07-12,1.23710185136802,1.15855668364281,1.31818662246076
2020-07-13,1.20383841045192,1.12824657083925,1.28184657785105
2020-07-14,1.17097069831731,1.09808569328611,1.24616447163665
2020-07-15,1.13756121525566,1.06715123885671,1.21018869867008
2020-07-16,1.10104864786792,1.03296755009759,1.17127166848611
2020-07-17,1.06732365960998,1.00126107530651,1.1354668332226
2020-07-18,1.03296632901429,0.968736914697119,1.09922818159858
2020-07-19,0.998260979632876,0.935675623093832,1.06284368268563
2020-07-20,0.966345775128087,0.905121650661145,1.02954511504144
2020-07-21,0.938895806819865,0.878703762395726,1.00105362343484
2020-07-22,0.918595997966695,0.85902136318442,0.98013960395418
2020-07-23,0.901767513513122,0.842521164697687,0.962998410475858
2020-07-24,0.889537839863028,0.830311794217804,0.950775264503015
2020-07-25,0.882784944225325,0.82327070587444,0.944346614802308
2020-07-26,0.877173220461492,0.817238695691263,0.93919847744974
2020-07-27,0.872911699736268,0.812440333178855,0.935522873758273
2020-07-28,0.868091300993083,0.807055007946021,0.931320864153622
2020-07-29,0.863287560082058,0.801653561578536,0.927171718655331
2020-07-30,0.859537574452426,0.797238612875134,0.924146858114639
2020-07-31,0.855748025160838,0.792751203292044,0.921119098449576
2020-08-01,0.850705042099447,0.787018137178866,0.916834487959705
2020-08-02,0.845509045399108,0.781100406269648,0.912432993055142
2020-08-03,0.837241512238648,0.772198462245305,0.904877060050089
2020-08-04,0.828458784344094,0.762769093702667,0.896823076400498
2020-08-05,0.816378510446157,0.750136347636552,0.88538340230628
2020-08-06,0.80397646989419,0.737143220459176,0.873668364421726
2020-08-07,0.794604207631724,0.726979011305346,0.865193831271098
2020-08-08,0.790429184590075,0.721686940175881,0.862253833076202
2020-08-09,0.795463055039579,0.725068415588472,0.86907222650193
2020-08-10,0.808572268820546,0.736027898491288,0.884477347840215
2020-08-11,0.83145592440378,0.756210661049736,0.910218752799937
2020-08-12,0.86163416866824,0.78331550005356,0.943630932267962
2020-08-13,0.899917336644286,0.818208729618933,0.985458822428121
2020-08-14,0.945111291541278,0.859858809633194,1.03433555901452
2020-08-15,0.995896491606674,0.907114423826694,1.08876406819506
2020-08-16,1.05073569208468,0.958610541465184,1.14702696506302
2020-08-17,1.11217862480822,1.01688152124327,1.21168292994434
2020-08-18,1.17807735989193,1.07996536360332,1.28039395079953
2020-08-19,1.24368410162438,1.14338178362229,1.34814322318633
2020-08-20,1.30385763791743,1.2022383576495,1.40954085339935
2020-08-21,1.35773710830621,1.25571207709319,1.46369023797135
2020-08-22,1.39919200395014,1.29784962078783,1.50428989938839
2020-08-23,1.43204134536478,1.33219945739421,1.53543968286458
2020-08-24,1.45165877813081,1.35414440166565,1.55251541635702
2020-08-25,1.45872312351977,1.36417166680737,1.55639775685644
2020-08-26,1.45442153631809,1.36328481985817,1.54846522675148
2020-08-27,1.44183990878691,1.35435065832546,1.5320286933359
2020-08-28,1.42415835381263,1.34035103446589,1.51047114022164
2020-08-29,1.39931554420784,1.31920991914411,1.48174890047039
2020-08-30,1.37382836858717,1.29720982118726,1.45261424916384
2020-08-31,1.3491293525236,1.27573268568828,1.42454988753076
2020-09-01,1.32833255097787,1.25780791578583,1.40075373454067
2020-09-02,1.30796029328583,1.24006435771019,1.37764031930682
2020-09-03,1.29186925305583,1.22628308473617,1.35913993381234
2020-09-04,1.2775689005494,1.21407439837355,1.3426589769876
